id	eixo	curso	cd_cbo	desc_cbo	marc_inc
1	AMBIENTE E SAÚDE	Técnico em Agente Comunitário de Saúde	352210	Agente de Saúde Pública	
2	AMBIENTE E SAÚDE	Técnico em Agente Comunitário de Saúde	515105	Agente Comunitário de Saúde	
3	AMBIENTE E SAÚDE	Técnico em Análises Clínicas	324205	Técnico em patologia clínica	
4	AMBIENTE E SAÚDE	Técnico em Citopatologia	324205	Técnico em patologia clínica	
5	AMBIENTE E SAÚDE	Técnico em Controle Ambiental	311505	Técnico de controle de meio ambiente	
6	AMBIENTE E SAÚDE	Técnico em Cuidados de Idosos	516210	Cuidador de Idosos	
7	AMBIENTE E SAÚDE	Técnico em Cuidados de Idosos	516220	Cuidador em Saúde	
8	AMBIENTE E SAÚDE	Técnico em Enfermagem	322205	Técnico de enfermagem	
9	AMBIENTE E SAÚDE	Técnico em Equipamentos Biomédicos	915305	Técnico em manutenção de equipamentos e instrumentos médico-hospitalares	
10	AMBIENTE E SAÚDE	Técnico em Estética	322130	Esteticista	
12	AMBIENTE E SAÚDE	Técnico em Farmácia	325110	Técnico em laboratório de farmácia	
11	AMBIENTE E SAÚDE	Técnico em Farmácia	325115	Técnico em Farmácia	
13	AMBIENTE E SAÚDE	Técnico em Gerência de Saúde	---		
14	AMBIENTE E SAÚDE	Técnico em Hemoterapia	---		
15	AMBIENTE E SAÚDE	Técnico em Imagem Pessoal	---		
16	AMBIENTE E SAÚDE	Técnico em Imobilizações ortopédicas	322605	Técnico de imobilização ortopédica	
17	AMBIENTE E SAÚDE	Técnico em Massoterapia	322120	Massoterapeuta	
18	AMBIENTE E SAÚDE	Técnico em Meio Ambiente	311505	Técnico de controle de meio ambiente	
20	AMBIENTE E SAÚDE	Técnico em Meio Ambiente	311515	Técnico de utilidade (produção e distribuição de vapor, gases, óleos, combustíveis, energia)	
19	AMBIENTE E SAÚDE	Técnico em Meio Ambiente	311520	Técnico em tratamento de efluentes	
21	AMBIENTE E SAÚDE	Técnico em Meteorologia	311510	Técnico de meteorologia	
22	AMBIENTE E SAÚDE	Técnico em Necropsia	328105	Embalsamador	
23	AMBIENTE E SAÚDE	Técnico em Necropsia	328110	Taxidermista	
24	AMBIENTE E SAÚDE	Técnico em Nutrição e Dietética	325210	Técnico em nutrição e dietética	
25	AMBIENTE E SAÚDE	Técnico em Óptica	322305	Técnico em óptica e optometria	
26	AMBIENTE E SAÚDE	Técnico em Órteses e Próteses	322505	Técnico de ortopedia	
27	AMBIENTE E SAÚDE	Técnico em Podologia	322110	Podólogo	
28	AMBIENTE E SAÚDE	Técnico em Prótese Dentária	322410	Protético dentário	
29	AMBIENTE E SAÚDE	Técnico em Radiologia	324115	Técnico em radiologia e imagenologia	
30	AMBIENTE E SAÚDE	Técnico em Reabilitação de Dependentes Químicos	515315	Monitor de dependente químico	
31	AMBIENTE E SAÚDE	Técnico em Reciclagem	---		
32	AMBIENTE E SAÚDE	Técnico em Registros e Informações em Saúde	---		
33	AMBIENTE E SAÚDE	Técnico em Saúde Bucal	322405	Técnico em saúde bucal	
34	AMBIENTE E SAÚDE	Técnico em Vigilância em Saúde	352210	Agente de saúde pública	
35	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Automação Industrial	300105	Técnico em mecatrônica - automação da manufatura	
37	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Automação Industrial	313205	Técnico de manutenção eletrônica	
38	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Automação Industrial	313210	Técnico de manutenção eletrônica (circuitos de máquinas com comando numérico)	
39	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Automação Industrial	313215	Técnico eletrônico	
36	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Automação Industrial	313410	Técnico em instrumentação	
40	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Automação Industrial	352310	Agente fiscal de qualidade	
41	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Eletroeletrônica	313105	Eletrotécnico	
42	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Eletroeletrônica	313120	Técnico de manutenção elétrica	
43	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Eletroeletrônica	313210	Técnico de manutenção eletrônica (circuitos de máquinas com comando numérico)	
44	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Eletroeletrônica	313215	Técnico eletrônico	
45	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Eletroeletrônica	352310	Agente fiscal de qualidade	
46	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Eletromecânica	300305	Técnico em Eletromecânica	
47	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Eletromecânica	352310	Agente fiscal de qualidade	
48	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Eletrônica	313205	Técnico de manutenção eletrônica	
49	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Eletrônica	313210	Técnico de manutenção eletrônica (circuitos de máquinas com comando numérico)	
50	CONTROLE E PROCESSOS INDUSTRIAIS	Técnico em Eletrônica	313215	Técnico eletrônico	
