id	eixo	curso	cd_cbo	desc_cbo	marc_inc
1	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Automação Industrial 	300105	Técnico em mecatrônica - automação da manufatura	
2	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Automação Industrial 	313410	Técnico em instrumentação	
3	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Automação Industrial 	313205	Técnico de manutenção eletrônica	
4	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Automação Industrial 	313210	Técnico de manutenção eletrônica (circuitos de máquinas com comando numérico)	
5	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Automação Industrial 	313215	Técnico eletrônico	
6	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Automação Industrial 	352310	Agente fiscal de qualidade	
7	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletroeletrônica 	313105	Eletrotécnico	
8	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletroeletrônica 	313120	Técnico de manutenção elétrica	
9	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletroeletrônica 	313210	Técnico de manutenção eletrônica (circuitos de máquinas com comando numérico)	
10	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletroeletrônica 	313215	Técnico eletrônico	
11	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletroeletrônica 	352310	Agente fiscal de qualidade	
12	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletromecânica 	300305	Técnico em Eletromecânica	
13	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletromecânica 	352310	Agente fiscal de qualidade	
14	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrônica 	313205	Técnico de manutenção eletrônica	
15	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrônica 	313210	Técnico de manutenção eletrônica (circuitos de máquinas com comando numérico)	
16	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrônica 	313215	Técnico eletrônico	
17	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrônica 	318305	Desenhista técnico (eletricidade e eletrônica)	
18	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrônica 	318710	Desenhista projetista eletrônico	
19	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrotécnica 	313105	Eletrotécnico	
20	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrotécnica 	313110	Eletrotécnico (produção de energia)	
21	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrotécnica 	313115	Eletrotécnico na fabricação, montagem e instalação de máquinas e equipamentos	
22	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrotécnica 	313120	Técnico de manutenção elétrica	
